date,winners_1,winners_2,winners_3,winners_4,winners_5,winners_6,winners_7,winners_8,prize_1,prize_2,prize_3,prize_4,prize_5,prize_6,prize_7,prize_8,rollover_amount,prize_pool,sales,next_jackpot
2018-Feb-17,0,2,60,166,2954,4263,51539,43954,0,49738.3,2883.4,1302.8,123,74.1,50,20,3157298.4,7781304.1,17291325,6200000
2018-Feb-21,0,0,36,89,1906,2271,35432,24186,0,0,6012.5,1930.1,151.4,110.4,50,20,5665398.45,8848234.15,12646830,8700000
2018-Feb-24,0,1,49,140,2884,4345,56292,45234,0,110368.4,3917.3,1713.8,139.7,80.6,50,20,9168395.43,14183025.33,18928680,1.2e+07
2018-Feb-28,0,2,35,80,1926,2355,40477,26522,0,51960.6,5163.7,2823.9,197.1,140,50,20,12466765.38,16240932.68,15716900,1.6e+07
2018-Mar-03,1,2,63,126,3309,3723,58958,40435,16196222.6,58751.7,3243.7,2027.4,129.7,100.2,50,20,0,21332353.4,19700990,3e+06
2018-Mar-07,0,1,28,57,1805,2246,36027,26098,0,89701.9,5571.6,3421,181.5,126.8,50,20,2847058.22,6223472.22,13829755,6e+06
2018-Mar-10,0,0,102,147,4590,3869,67745,36962,0,0,2196.8,1209.8,65.1,67.1,50,20,5443450.68,10530273.78,17073760,8500000
2018-Mar-14,0,2,36,101,1876,2432,33152,25793,0,40161.1,3880.3,1728.8,156.4,104.8,50,20,7992805.77,11109167.57,12590505,1.1e+07
2018-Mar-17,0,1,36,91,2017,2880,43137,31535,0,106999,5169,2556.1,193.7,117.9,50,20,11388863.22,15432346.22,16532630,14500000
2018-Mar-21,0,0,28,85,1530,2584,31603,27029,0,0,6559,1714.8,160.1,82.4,50,20,13516903.2,16424917.8,11190785,3.6e+07
2018-Mar-24,1,1,58,157,3613,4069,66579,42993,3.6e+07,127925.1,3835.8,1771.3,129.3,99.8,50,20,0,41690552.72,21668375,3e+06
2018-Mar-28,0,1,43,110,2253,3013,41404,28852,0,69358.3,2805.3,1370.8,112.4,73,50,20,2201375.21,5662575.61,12584050,5200000
2018-Mar-31,0,0,60,101,2522,3233,47519,32901,0,0,4470.5,2107.7,141.8,96.2,50,20,5309431.79,9493143.69,16203515,8300000
2018-Apr-04,0,0,26,78,1655,2214,35539,24305,0,0,9113.5,2411,190.9,124,50,20,8055080.78,11333615.28,13387140,1.1e+07
2018-Apr-07,0,2,54,134,2929,4012,56735,39087,0,45545.7,2933.7,1477.8,113.6,72,50,20,10946240.85,15633865.65,16842185,1.4e+07
2018-Apr-11,0,0,29,85,1724,2652,33820,29104,0,0,7452.6,2018,167.2,94.5,50,20,13450560.96,16650163.16,12674790,16500000
2018-Apr-14,0,1,36,128,2396,3614,45241,37215,0,102786.2,4965.5,1745.7,156.6,90.3,50,20,16712906.69,20925808.29,16611815,2e+07
2018-Apr-18,0,0,27,62,1552,2233,33066,25818,0,0,9214.6,3184.7,213.8,129,50,20,19595744.95,22831525.15,13597230,2.3e+07
2018-Apr-21,0,1,48,128,2580,3858,51327,39430,0,109546.3,3969.1,1860.5,155.1,90.1,50,20,23072648.26,27713569.16,18039625,2.6e+07
2018-Apr-25,0,1,30,83,2030,2574,39655,28996,0,101070.8,5859.1,2647.2,181.8,124.7,50,20,26280548.58,30029811.78,15460120,2.9e+07
2018-Apr-28,0,1,71,195,3074,4922,58602,50178,0,117965.1,2889.5,1315.1,140.2,76.1,50,20,30024657.99,35343421.09,20139060,3.3e+07
2018-May-02,0,0,29,93,2203,2872,45878,33543,0,0,10197.1,2523.6,178.9,119.2,50,20,33451164.11,37682793.91,17019120,5e+07
2018-May-05,0,0,59,175,3787,5277,73412,58446,0,0,8049.8,2153.9,167.2,104.3,50,20,5e+07,56874968.2,27507245,5.4e+07
2018-May-09,0,0,47,145,3297,4352,64030,46178,0,0,7265.2,1869,138.1,90.9,50,20,53956631.39,59545103,21211340,5.8e+07
2018-May-12,1,1,52,170,3626,5183,69813,56052,58672133.92,148570.6,4968.9,1899.9,149.7,91,50,20,0,65027913.89,24602850,3e+06
